X,Y,Z,Movement,SegmentID
333,329,388,Walking,11
328,326,389,Walking,11
327,328,387,Walking,11
328,329,388,Walking,11
330,326,387,Walking,11
330,325,386,Walking,11
327,325,386,Walking,11
330,328,386,Walking,11
328,323,385,Walking,11
330,326,387,Walking,12
332,322,387,Walking,12
328,329,387,Walking,12
332,326,381,Walking,12
335,323,388,Walking,12
328,328,386,Walking,12
328,325,388,Walking,12
324,325,387,Walking,12
329,322,384,Walking,12
320,325,388,Walking,12
326,324,387,Walking,12
324,324,382,Walking,12
318,313,372,Walking,12
333,332,388,Walking,12
333,328,386,Walking,12
330,327,388,Walking,13
324,326,387,Walking,13
328,329,387,Walking,13
326,331,386,Walking,13
318,324,387,Walking,13
313,321,379,Walking,13
321,330,387,Walking,13
326,332,388,Walking,13
325,330,387,Walking,13
321,323,387,Walking,13
330,328,387,Walking,13
327,328,387,Walking,13
327,330,387,Walking,13
329,331,387,Walking,14
330,331,386,Walking,14
333,332,388,Walking,14
327,339,391,Walking,14
311,341,383,Walking,14
323,338,383,Walking,14
318,333,395,Walking,14
321,327,395,Walking,14
331,334,380,Walking,14
321,335,392,Walking,14
349,333,397,Walking,14
342,327,386,Walking,14
341,331,381,Walking,14
340,332,383,Walking,14
333,324,394,Running,15
330,329,377,Running,15
327,331,389,Running,15
338,334,383,Running,15
345,334,385,Running,15
337,332,388,Running,15
339,331,392,Running,15
330,325,402,Running,15
338,326,401,Running,15
348,337,386,Running,15
335,322,386,Running,15
334,325,388,Running,15
334,335,394,Running,15
325,332,386,Running,15
327,340,403,Running,15
324,339,399,Running,15
336,341,393,Running,16
338,338,390,Running,16
331,334,396,Running,16
327,338,402,Running,16
341,337,387,Running,16
340,340,394,Running,16
340,339,393,Running,16
328,335,399,Running,16
339,331,388,Running,16
337,334,390,Running,16
333,339,398,Running,16
345,346,402,Running,16
346,345,394,Running,16
347,339,385,Running,16
326,332,394,Running,16
340,336,386,Running,17
330,337,386,Running,17
332,331,389,Running,17
333,335,389,Running,17
338,334,379,Running,17
364,330,393,Running,17
342,335,396,Running,17
328,329,377,Running,17
345,329,382,Running,17
319,325,385,Running,17
338,341,397,Running,17
322,329,389,Running,17
354,323,374,Running,17
357,340,396,Running,17
320,328,402,Running,17
317,338,404,Running,18
321,326,381,Running,18
331,335,389,Running,18
330,326,374,Running,18
332,334,385,Running,18
329,331,401,Running,18
325,333,406,Running,18
335,329,379,Running,18
342,333,389,Running,18
336,338,388,Running,18
330,332,381,Running,18
336,333,390,Running,18
331,332,389,Running,18
330,334,393,Running,18
325,329,397,Running,18
350,332,378,Running,19
331,329,396,Running,19
335,328,382,Running,19
346,341,380,Running,19
336,333,379,Running,19
349,336,375,Running,19
338,334,380,Running,19
342,341,382,Running,19
337,332,385,Running,19
344,339,376,Running,19
315,328,389,Running,19
318,326,390,Running,19
335,329,388,Running,19
337,336,392,Running,19
332,338,398,Running,19
341,333,386,Running,20
348,333,377,Running,20
329,323,370,Running,20
345,333,382,Running,20
334,331,398,Running,20
329,326,390,Running,20
327,321,382,Running,20
318,332,395,Running,20
326,327,386,Running,21
326,327,386,Running,21
328,327,387,Running,21
328,326,388,Running,21
329,326,390,Running,21
326,328,385,Running,21
312,322,386,Running,21
327,327,388,Running,21
330,326,385,Running,21
329,324,383,Running,21
319,335,383,Running,21
323,329,381,Running,21
326,330,381,Running,21
329,337,385,Running,21
332,339,383,Falling,22
333,340,385,Falling,22
329,342,383,Falling,22
333,338,382,Falling,22
323,341,382,Falling,22
329,347,390,Falling,22
329,344,393,Falling,22
329,345,388,Falling,22
328,343,387,Falling,22
328,343,388,Falling,22
330,339,387,Falling,22
329,329,386,Falling,22
288,325,382,Falling,22
342,315,404,Falling,22
309,317,373,Falling,22
313,327,382,Falling,22
328,331,362,Falling,23
338,342,387,Falling,23
328,343,379,Falling,23
341,342,393,Falling,23
300,340,398,Falling,23
337,338,401,Falling,23
322,333,392,Falling,23
322,333,382,Falling,23
322,332,390,Falling,23
314,329,387,Falling,23
326,327,388,Falling,23
314,329,394,Falling,23
310,324,390,Falling,23
316,320,386,Falling,23
310,327,392,Falling,23
319,313,381,Falling,24
306,317,380,Falling,24
301,308,380,Falling,24
299,303,370,Falling,24
319,326,391,Falling,24
315,323,390,Falling,24
314,329,385,Falling,24
315,330,383,Falling,24
320,330,386,Falling,24
319,334,385,Falling,24
322,334,386,Falling,24
322,334,384,Falling,24
321,336,385,Falling,24
323,336,386,Falling,24
318,334,385,Falling,24
319,331,391,Falling,25
325,336,389,Falling,25
319,331,380,Falling,25
321,323,383,Falling,25
324,327,382,Falling,25
322,330,382,Falling,25
323,332,390,Falling,25
318,330,401,Falling,25
323,336,395,Falling,25
335,338,390,Falling,25
325,336,383,Falling,25
328,335,395,Falling,25
330,333,397,Falling,25
322,333,391,Falling,25
324,330,387,Falling,25
328,328,386,Falling,26
328,328,387,Falling,26
328,328,388,Falling,26
329,323,413,Falling,26
326,328,386,Falling,26
324,319,385,Falling,26
327,327,386,Falling,26
326,328,387,Falling,26
332,316,390,Falling,26
313,312,335,Falling,26
321,329,373,Falling,26
318,340,383,Falling,26
319,341,381,Falling,26
320,345,382,Falling,26
325,346,386,Falling,26
318,341,385,Falling,27
311,339,385,Falling,27
313,340,390,Falling,27
322,337,388,Falling,27
327,341,384,Falling,27
307,332,386,Falling,27
312,335,387,Falling,27
320,335,390,Falling,27
318,334,389,Falling,27
326,331,385,Falling,27
323,321,397,Falling,27
329,327,387,Falling,28
330,325,387,Falling,28
324,328,380,Falling,28
329,328,387,Falling,28
351,325,386,Falling,28
350,326,416,Falling,28
317,316,378,Falling,28
340,328,381,Falling,28
327,325,377,Falling,28
323,324,381,Falling,28
306,322,371,Falling,28
338,324,390,Falling,28
337,329,382,Falling,28
336,323,385,Falling,28
322,319,381,Resting,30
323,318,382,Resting,30
322,319,381,Resting,30
320,320,380,Resting,30
321,318,380,Resting,30
320,319,380,Resting,30
319,321,380,Resting,30
321,319,381,Resting,30
320,321,379,Resting,30
321,320,380,Resting,30
320,318,378,Resting,30
321,320,382,Resting,30
320,320,380,Resting,30
322,318,381,Resting,30
319,320,380,Resting,30
321,319,380,Resting,31
320,318,380,Resting,31
320,319,380,Resting,31
320,317,379,Resting,31
320,320,382,Resting,31
318,319,380,Resting,31
317,320,381,Resting,31
322,319,380,Resting,31
320,318,380,Resting,31
319,318,380,Resting,31
318,320,380,Resting,31
327,327,386,Resting,31
328,328,388,Resting,31
331,327,387,Resting,31
329,326,386,Resting,31
328,326,387,Resting,32
330,329,387,Resting,32
326,325,386,Resting,32
328,327,389,Resting,32
328,326,388,Resting,32
328,327,386,Resting,32
327,328,388,Resting,32
327,327,389,Resting,32
327,327,387,Resting,32
327,327,387,Resting,32
327,328,386,Resting,32
327,327,386,Resting,32
327,326,387,Resting,32
327,327,385,Resting,32
327,327,387,Resting,32
328,328,387,Resting,33
325,329,389,Resting,33
327,326,388,Resting,33
327,328,386,Resting,33
326,325,385,Resting,33
328,328,387,Resting,33
325,328,388,Resting,33
330,329,388,Resting,33
329,327,387,Resting,33
327,326,387,Resting,33
327,329,387,Resting,33
328,328,388,Resting,33
329,328,387,Resting,33
328,325,388,Resting,33
329,326,389,Resting,34
328,327,386,Resting,34
328,327,387,Resting,34
326,328,387,Resting,34
329,325,387,Resting,34
331,326,388,Resting,34
327,329,387,Resting,34
328,327,386,Resting,34
330,327,388,Resting,34
328,327,387,Resting,34
326,328,386,Resting,34
329,330,387,Resting,34
330,328,387,Resting,34
329,329,387,Resting,34
329,329,388,Resting,34
327,325,387,Resting,34
329,329,387,Resting,35
328,326,387,Resting,35
327,329,387,Resting,35
325,324,386,Resting,35
324,324,383,Resting,35
322,324,381,Resting,35
324,323,383,Resting,35
322,323,383,Resting,35
325,322,387,Resting,35
322,322,384,Resting,35
324,323,383,Resting,35
324,323,383,Resting,35
323,323,383,Resting,35
323,325,384,Resting,35
324,323,383,Resting,35
324,322,385,Resting,36
325,323,385,Resting,36
323,324,384,Resting,36
324,323,387,Resting,36
325,324,384,Resting,36
324,322,383,Resting,36
326,324,384,Resting,36
322,322,384,Resting,36
324,323,384,Resting,36
322,324,383,Resting,36
324,322,384,Resting,36
323,323,382,Resting,36
324,323,387,Resting,36
324,323,384,Resting,36
327,324,388,Resting,37
326,326,384,Resting,37
325,325,384,Resting,37
329,325,386,Resting,37
328,325,389,Resting,37
328,320,384,Resting,37
328,328,389,Resting,37
335,329,393,Resting,37
329,328,389,Resting,37
330,323,386,Resting,37
326,329,389,Resting,37
329,328,387,Resting,37
329,325,388,Resting,37
328,329,386,Resting,37
331,332,387,Walking,37
332,329,388,Walking,37
327,327,384,Walking,37
318,316,379,Walking,37
326,325,386,Walking,37
327,326,388,Walking,37
329,329,385,Walking,37
329,326,385,Walking,37
330,328,389,Walking,37
328,327,389,Walking,37
329,327,387,Walking,37
329,329,388,Walking,37
328,328,387,Walking,37
329,324,388,Walking,37
328,328,387,Walking,37
332,326,389,Walking,37
330,321,387,Walking,38
321,325,395,Walking,38
338,330,389,Walking,38
332,325,387,Walking,38
325,324,387,Walking,38
318,324,388,Walking,38
331,325,385,Walking,38
329,325,386,Walking,38
328,322,385,Walking,38
326,326,387,Walking,38
327,323,387,Walking,38
326,324,387,Walking,38
326,327,386,Walking,38
325,327,385,Walking,38
324,328,387,Walking,38
327,327,388,Walking,39
324,326,389,Walking,39
326,328,388,Walking,39
326,326,388,Walking,39
330,330,390,Walking,39
337,331,391,Walking,39
327,328,385,Walking,39
329,329,388,Walking,39
333,328,387,Walking,39
339,328,389,Walking,39
324,322,385,Walking,39
320,324,387,Walking,39
319,329,386,Walking,39
330,336,387,Walking,39
328,335,388,Walking,39
326,332,390,Walking,40
333,328,388,Walking,40
336,330,388,Walking,40
327,327,390,Walking,40
333,332,386,Walking,40
332,330,386,Walking,40
332,330,388,Walking,40
327,326,388,Walking,40
327,327,386,Walking,40
328,330,388,Walking,40
331,324,391,Walking,40
330,324,387,Walking,40
325,326,386,Walking,40
330,327,386,Walking,40
327,323,385,Walking,40
331,328,387,Walking,41
331,322,388,Walking,41
328,330,387,Walking,41
331,326,381,Walking,41
336,324,387,Walking,41
328,329,386,Walking,41
329,326,387,Walking,41
323,324,387,Walking,41
331,322,384,Walking,41
320,325,390,Walking,41
326,325,389,Walking,41
323,324,380,Walking,41
316,314,373,Walking,41
333,333,386,Walking,41
333,327,385,Walking,41
331,326,386,Walking,42
323,325,387,Walking,42
327,329,388,Walking,42
328,330,385,Walking,42
319,324,386,Walking,42
314,320,380,Walking,42
322,332,389,Walking,42
325,331,387,Walking,42
324,327,388,Walking,42
320,323,387,Walking,42
330,327,387,Walking,42
327,327,387,Walking,42
327,330,387,Walking,42
330,331,388,Walking,43
330,330,385,Walking,43
333,333,387,Walking,43
326,339,391,Walking,43
312,343,384,Walking,43
326,338,382,Walking,43
321,333,394,Walking,43
323,328,395,Walking,43
332,334,380,Walking,43
320,335,392,Walking,43
349,332,397,Walking,43
343,326,386,Walking,43
340,331,380,Walking,43
340,332,382,Walking,43
333,325,396,Running,44
331,330,376,Running,44
327,331,391,Running,44
339,334,383,Running,44
345,335,387,Running,44
337,332,390,Running,44
339,331,393,Running,44
330,327,400,Running,44
338,326,401,Running,44
348,336,388,Running,44
333,322,385,Running,44
334,325,388,Running,44
334,334,395,Running,44
323,331,387,Running,44
326,339,404,Running,44
325,339,398,Running,44
336,341,392,Running,45
337,340,390,Running,45
330,334,397,Running,45
328,337,403,Running,45
341,338,386,Running,45
341,341,393,Running,45
340,340,392,Running,45
327,336,398,Running,45
338,332,388,Running,45
338,335,390,Running,45
331,341,397,Running,45
344,346,401,Running,45
347,344,394,Running,45
349,339,386,Running,45
326,332,394,Running,45
339,336,386,Running,46
330,338,387,Running,46
332,332,389,Running,46
334,336,391,Running,46
337,334,380,Running,46
365,331,392,Running,46
342,335,395,Running,46
327,329,377,Running,46
344,328,382,Running,46
319,326,385,Running,46
338,341,397,Running,46
321,328,388,Running,46
354,322,373,Running,46
356,340,396,Running,46
319,327,402,Running,46
318,338,404,Running,47
320,327,381,Running,47
332,336,390,Running,47
330,326,374,Running,47
332,333,386,Running,47
329,331,401,Running,47
325,334,406,Running,47
334,328,382,Running,47
341,333,389,Running,47
336,339,389,Running,47
328,331,382,Running,47
334,335,389,Running,47
332,332,390,Running,47
329,334,396,Running,47
324,328,396,Running,47
349,332,379,Running,48
330,328,395,Running,48
336,328,382,Running,48
346,341,379,Running,48
335,333,379,Running,48
348,336,375,Running,48
337,333,380,Running,48
342,342,382,Running,48
338,331,386,Running,48
345,339,375,Running,48
315,328,389,Running,48
316,325,391,Running,48
335,329,388,Running,48
337,334,392,Running,48
332,338,398,Running,48
342,333,385,Running,49
348,335,376,Running,49
329,323,370,Running,49
344,332,380,Running,49
333,332,398,Running,49
330,326,391,Running,49
326,319,382,Running,49
320,334,396,Running,49
327,326,387,Running,50
326,328,384,Running,50
328,326,386,Running,50
328,327,388,Running,50
327,326,391,Running,50
325,329,385,Running,50
314,322,385,Running,50
327,328,388,Running,50
331,324,383,Running,50
328,323,384,Running,50
318,336,385,Running,50
323,329,379,Running,50
325,330,379,Running,50
329,338,385,Running,50
333,337,382,Falling,51
332,340,384,Falling,51
331,343,382,Falling,51
334,339,382,Falling,51
324,341,383,Falling,51
331,346,390,Falling,51
329,342,392,Falling,51
328,343,388,Falling,51
327,344,386,Falling,51
329,343,387,Falling,51
330,338,386,Falling,51
329,329,386,Falling,51
289,325,382,Falling,51
344,316,404,Falling,51
307,317,374,Falling,51
314,325,381,Falling,51
329,331,363,Falling,52
337,343,385,Falling,52
329,344,380,Falling,52
341,342,393,Falling,52
300,342,400,Falling,52
337,338,401,Falling,52
322,333,392,Falling,52
323,333,382,Falling,52
321,332,389,Falling,52
315,328,387,Falling,52
326,326,389,Falling,52
314,329,394,Falling,52
310,324,388,Falling,52
316,318,385,Falling,52
310,327,393,Falling,52
320,316,381,Falling,53
306,318,382,Falling,53
301,307,379,Falling,53
299,303,369,Falling,53
319,326,390,Falling,53
316,323,389,Falling,53
315,330,386,Falling,53
314,330,385,Falling,53
321,331,388,Falling,53
319,333,388,Falling,53
322,332,385,Falling,53
323,333,384,Falling,53
322,337,385,Falling,53
323,338,385,Falling,53
317,333,385,Falling,53
320,331,390,Falling,54
325,336,389,Falling,54
319,330,380,Falling,54
322,324,382,Falling,54
323,327,382,Falling,54
323,330,382,Falling,54
322,331,390,Falling,54
318,332,402,Falling,54
323,334,394,Falling,54
334,337,391,Falling,54
326,336,382,Falling,54
328,335,393,Falling,54
329,335,397,Falling,54
323,332,392,Falling,54
324,329,386,Falling,54
328,328,388,Falling,55
328,329,387,Falling,55
327,328,389,Falling,55
328,323,414,Falling,55
327,329,386,Falling,55
322,319,383,Falling,55
327,327,387,Falling,55
327,329,387,Falling,55
332,314,391,Falling,55
314,311,336,Falling,55
322,328,373,Falling,55
317,338,385,Falling,55
319,340,381,Falling,55
318,345,383,Falling,55
325,346,385,Falling,55
316,340,386,Falling,56
310,338,386,Falling,56
311,342,389,Falling,56
322,338,389,Falling,56
325,341,383,Falling,56
307,331,386,Falling,56
311,333,385,Falling,56
319,335,392,Falling,56
317,333,389,Falling,56
326,331,385,Falling,56
324,321,398,Falling,56
330,327,387,Falling,57
331,325,386,Falling,57
324,327,381,Falling,57
330,327,385,Falling,57
351,327,385,Falling,57
349,326,416,Falling,57
316,315,377,Falling,57
341,329,383,Falling,57
327,324,377,Falling,57
324,326,382,Falling,57
306,323,373,Falling,57
338,322,391,Falling,57
337,329,382,Falling,57
335,322,386,Falling,57
323,320,379,Resting,59
320,320,382,Resting,59
321,318,384,Resting,59
320,320,380,Resting,59
321,320,380,Resting,59
321,318,379,Resting,59
319,319,379,Resting,59
321,319,379,Resting,59
320,320,381,Resting,59
320,322,380,Resting,59
320,321,379,Resting,59
322,320,381,Resting,59
320,319,381,Resting,59
320,319,379,Resting,59
318,320,379,Resting,59
323,318,379,Resting,60
320,319,383,Resting,60
320,321,381,Resting,60
319,319,381,Resting,60
320,318,380,Resting,60
319,319,381,Resting,60
319,319,379,Resting,60
321,319,379,Resting,60
320,317,381,Resting,60
320,317,380,Resting,60
320,318,380,Resting,60
329,328,385,Resting,60
328,328,388,Resting,60
328,327,387,Resting,60
328,329,387,Resting,60
328,327,388,Resting,61
328,328,387,Resting,61
328,326,385,Resting,61
327,328,388,Resting,61
329,327,386,Resting,61
325,327,388,Resting,61
328,329,388,Resting,61
329,327,387,Resting,61
328,326,384,Resting,61
326,326,387,Resting,61
327,328,388,Resting,61
329,330,387,Resting,61
331,329,388,Resting,61
329,326,386,Resting,61
328,326,386,Resting,61
328,328,385,Resting,62
326,328,388,Resting,62
329,328,387,Resting,62
328,326,387,Resting,62
327,328,386,Resting,62
329,327,387,Resting,62
327,326,387,Resting,62
330,329,388,Resting,62
329,328,387,Resting,62
328,327,388,Resting,62
328,329,388,Resting,62
330,328,389,Resting,62
328,328,388,Resting,62
327,327,388,Resting,62
329,327,388,Resting,63
328,329,388,Resting,63
329,327,386,Resting,63
328,326,386,Resting,63
328,329,387,Resting,63
329,326,387,Resting,63
327,328,388,Resting,63
325,325,386,Resting,63
328,328,388,Resting,63
330,327,387,Resting,63
328,328,388,Resting,63
328,329,387,Resting,63
329,330,386,Resting,63
330,326,388,Resting,63
328,328,387,Resting,63
330,327,387,Resting,63
329,327,386,Resting,64
328,329,388,Resting,64
329,328,387,Resting,64
324,326,385,Resting,64
323,323,383,Resting,64
323,324,384,Resting,64
324,326,385,Resting,64
324,322,382,Resting,64
324,322,385,Resting,64
323,321,385,Resting,64
323,324,385,Resting,64
325,324,384,Resting,64
323,322,383,Resting,64
322,323,384,Resting,64
324,325,384,Resting,64
323,324,384,Resting,65
325,323,383,Resting,65
325,323,383,Resting,65
323,323,386,Resting,65
323,324,384,Resting,65
322,324,384,Resting,65
325,323,384,Resting,65
322,322,385,Resting,65
324,324,383,Resting,65
322,322,383,Resting,65
323,321,383,Resting,65
324,322,385,Resting,65
321,322,383,Resting,65
324,322,385,Resting,65
324,326,387,Resting,66
325,324,386,Resting,66
323,323,384,Resting,66
328,325,388,Resting,66
329,324,387,Resting,66
325,322,385,Resting,66
327,329,390,Resting,66
335,328,394,Resting,66
327,328,390,Resting,66
328,323,387,Resting,66
325,326,389,Resting,66
331,329,387,Resting,66
327,326,387,Resting,66
330,331,386,Resting,66
333,330,387,Walking,66
331,329,387,Walking,66
329,323,387,Walking,66
318,316,379,Walking,66
328,325,386,Walking,66
328,327,387,Walking,66
327,328,384,Walking,66
327,327,386,Walking,66
329,328,387,Walking,66
327,327,386,Walking,66
330,326,387,Walking,66
329,330,387,Walking,66
326,327,385,Walking,66
328,327,387,Walking,66
327,327,385,Walking,66
331,326,390,Walking,66
331,322,389,Walking,67
323,327,395,Walking,67
339,327,388,Walking,67
331,324,387,Walking,67
326,325,387,Walking,67
317,325,385,Walking,67
331,322,385,Walking,67
328,321,386,Walking,67
328,322,383,Walking,67
325,325,385,Walking,67
326,326,384,Walking,67
328,325,385,Walking,67
329,325,387,Walking,67
324,325,387,Walking,67
325,328,388,Walking,67
328,326,388,Walking,68
324,326,389,Walking,68
325,327,387,Walking,68
325,327,390,Walking,68
330,329,391,Walking,68
336,329,392,Walking,68
328,327,386,Walking,68
328,329,389,Walking,68
333,329,386,Walking,68
338,328,388,Walking,68
323,325,388,Walking,68
322,324,387,Walking,68
318,330,386,Walking,68
332,335,386,Walking,68
330,333,388,Walking,68
324,332,391,Walking,69
332,330,387,Walking,69
334,331,388,Walking,69
327,330,390,Walking,69
335,331,385,Walking,69
331,328,384,Walking,69
333,329,389,Walking,69
329,325,389,Walking,69
327,328,388,Walking,69
330,328,388,Walking,69
331,326,386,Walking,69
331,327,388,Walking,69
326,326,385,Walking,69
331,329,386,Walking,69
328,322,385,Walking,69
328,325,389,Walking,70
332,321,387,Walking,70
327,328,387,Walking,70
333,325,381,Walking,70
335,324,387,Walking,70
328,327,386,Walking,70
327,326,387,Walking,70
325,325,387,Walking,70
329,322,383,Walking,70
318,325,389,Walking,70
327,324,387,Walking,70
324,323,381,Walking,70
318,313,373,Walking,70
332,332,390,Walking,70
332,328,386,Walking,70
329,327,388,Walking,71
322,327,386,Walking,71
329,329,387,Walking,71
326,331,388,Walking,71
318,324,388,Walking,71
312,320,379,Walking,71
321,329,385,Walking,71
326,333,387,Walking,71
326,330,387,Walking,71
321,322,388,Walking,71
331,329,386,Walking,71
326,327,388,Walking,71
327,331,387,Walking,71
329,331,388,Walking,72
330,334,387,Walking,72
332,332,388,Walking,72
326,341,390,Walking,72
311,341,383,Walking,72
323,339,383,Walking,72
317,331,396,Walking,72
324,328,394,Walking,72
331,335,382,Walking,72
321,334,393,Walking,72
349,332,398,Walking,72
343,327,385,Walking,72
340,331,382,Walking,72
341,332,384,Walking,72
333,324,395,Running,73
331,329,378,Running,73
328,330,389,Running,73
338,334,383,Running,73
346,334,383,Running,73
336,332,387,Running,73
338,331,393,Running,73
328,325,402,Running,73
338,328,400,Running,73
347,336,387,Running,73
336,320,385,Running,73
334,324,388,Running,73
334,333,395,Running,73
324,333,386,Running,73
326,340,404,Running,73
326,340,400,Running,73
334,342,393,Running,74
337,339,391,Running,74
332,334,396,Running,74
326,337,404,Running,74
342,337,388,Running,74
340,341,394,Running,74
339,339,393,Running,74
329,334,400,Running,74
338,332,389,Running,74
335,334,389,Running,74
335,339,398,Running,74
346,346,401,Running,74
346,344,392,Running,74
346,340,387,Running,74
325,332,395,Running,74
339,334,388,Running,75
331,337,386,Running,75
332,331,389,Running,75
331,335,390,Running,75
339,335,380,Running,75
363,330,393,Running,75
341,336,396,Running,75
328,329,377,Running,75
345,330,380,Running,75
319,325,384,Running,75
338,341,396,Running,75
321,331,389,Running,75
353,321,376,Running,75
356,341,396,Running,75
319,328,402,Running,75
317,338,405,Running,76
319,326,382,Running,76
332,335,389,Running,76
329,325,375,Running,76
332,335,383,Running,76
331,332,403,Running,76
325,333,407,Running,76
335,330,379,Running,76
341,333,389,Running,76
337,337,390,Running,76
330,332,380,Running,76
336,332,389,Running,76
332,332,390,Running,76
329,334,393,Running,76
323,328,397,Running,76
348,332,376,Running,77
331,328,396,Running,77
333,330,382,Running,77
346,342,379,Running,77
338,332,378,Running,77
349,337,374,Running,77
339,334,378,Running,77
342,340,381,Running,77
337,331,384,Running,77
344,339,376,Running,77
316,329,388,Running,77
319,326,390,Running,77
334,327,387,Running,77
336,335,392,Running,77
334,338,399,Running,77
341,333,388,Running,78
349,332,376,Running,78
331,323,372,Running,78
344,333,383,Running,78
334,331,397,Running,78
329,326,391,Running,78
327,319,383,Running,78
318,331,394,Running,78
326,327,385,Running,79
328,326,385,Running,79
330,326,389,Running,79
328,325,390,Running,79
330,326,390,Running,79
327,327,384,Running,79
312,323,387,Running,79
325,329,390,Running,79
329,326,385,Running,79
329,324,383,Running,79
320,335,380,Running,79
323,329,380,Running,79
327,331,381,Running,79
329,337,386,Running,79
331,339,382,Falling,80
332,337,386,Falling,80
330,342,382,Falling,80
333,340,380,Falling,80
321,343,382,Falling,80
329,347,389,Falling,80
329,344,394,Falling,80
328,345,387,Falling,80
329,342,386,Falling,80
329,343,388,Falling,80
330,340,388,Falling,80
329,331,387,Falling,80
287,324,381,Falling,80
344,315,403,Falling,80
308,315,374,Falling,80
313,327,382,Falling,80
329,329,362,Falling,81
337,343,387,Falling,81
327,344,379,Falling,81
340,342,392,Falling,81
301,340,398,Falling,81
336,340,400,Falling,81
323,333,393,Falling,81
322,334,383,Falling,81
324,332,391,Falling,81
315,328,387,Falling,81
325,326,389,Falling,81
312,330,392,Falling,81
310,327,388,Falling,81
